npoin  nele  nsec npfix  nlod
  392   759     4    16   392
  sec               E              po               A               J              Iy              Iz           theta
  sec           alpha           gamma             gkX             gkY             gkZ
    1   2.5500000e+06   2.0000000e-01   6.0000000e-01   0.0000000e+00   1.8000000e-02   5.0000000e-02   0.0000000e+00
    1   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
    2   2.5500000e+06   2.0000000e-01   2.5000000e+00   6.2300000e-01   1.3020000e+00   2.0800000e-01   0.0000000e+00
    2   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
    3   2.5500000e+06   2.0000000e-01   2.5000000e+00   6.2300000e-01   1.3020000e+00   2.0800000e-01   0.0000000e+00
    3   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
    4   1.0000000e+00   2.0000000e-01   1.0000000e-03   0.0000000e+00   1.0000000e-03   1.0000000e-03   0.0000000e+00
    4   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
 node               x               y               z              fx              fy              fz              mx              my              mz          deltaT
    1   0.0000000e+00  -9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    2   0.0000000e+00  -8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    3   0.0000000e+00  -7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    4   0.0000000e+00  -6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    5   0.0000000e+00  -5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    6   0.0000000e+00  -4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    7   0.0000000e+00  -3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    8   0.0000000e+00  -2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
    9   0.0000000e+00  -1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   10   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   11   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   12   0.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   13   0.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   14   0.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -9.6430000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   15   0.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -9.6430000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   16   0.0000000e+00   6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -9.6430000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   17   0.0000000e+00   7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   18   0.0000000e+00   8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   19   0.0000000e+00   9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   20   0.0000000e+00   1.0000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   21   0.0000000e+00   1.1000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   22   0.0000000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   23   1.0000000e+00  -9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   24   1.0000000e+00  -8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
