三次元骨組解析（入力データ１）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
節点数,36 ,,,材料数,1 ,,,,,要素数,63 ,,,,,,,,
,,,,,,,,,,,,,1（剛結) /  0(ピン結) で指定,,,,,,
X,Y,Z,,弾性係数,gk,断面積,yi,zi,,節点1,節点2,材料,x1,y1,z1,x2,y2,z2,fai
0 ,0 ,0 ,,21000000,100000,0.003,0.0142857,0.0047619,,1 ,2 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,4 ,0 ,,,,,,,,2 ,3 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,8 ,0 ,,,,,,,,3 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,12 ,0 ,,,,,,,,5 ,6 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,0 ,0 ,,,,,,,,6 ,7 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,4 ,0 ,,,,,,,,7 ,8 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,8 ,0 ,,,,,,,,9 ,10 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,12 ,0 ,,,,,,,,10 ,11 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,0 ,0 ,,,,,,,,11 ,12 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,4 ,0 ,,,,,,,,2 ,6 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,8 ,0 ,,,,,,,,6 ,10 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,12 ,0 ,,,,,,,,3 ,7 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,0 ,4 ,,,,,,,,7 ,11 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,4 ,4 ,,,,,,,,4 ,8 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,8 ,4 ,,,,,,,,8 ,12 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,12 ,4 ,,,,,,,,13 ,14 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,0 ,4 ,,,,,,,,14 ,15 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
